Time,Surge,Sway,Yaw
198.3,115.9133148,240.5122681,-1672.472778
198.4,118.5298691,248.0780792,-1698.57019
198.5,120.8818054,254.6631012,-1719.599609
198.6,122.9918137,260.401825,-1736.27478
198.7,124.9663849,265.7271118,-1750.455444
198.8,126.9188385,271.0634766,-1763.802979
198.9,128.8706818,276.4567261,-1776.29248
199,130.6837158,281.3367004,-1785.399292
199.1,132.0654602,284.5635986,-1786.509888
199.2,132.6568451,284.7797852,-1774.52124
199.3,132.1700439,280.9360352,-1745.987183
199.4,130.5164032,272.7622681,-1700.84082
199.5,127.8637238,260.9605103,-1642.859497
199.6,124.592865,247.0172424,-1578.59729
199.7,121.169693,232.7066498,-1515.222168
199.8,117.9890289,219.5040436,-1458.216187
199.9,115.2610321,208.1725311,-1409.962646
200,112.9901657,198.7031097,-1369.815674
200.1,111.0517426,190.6167603,-1335.529297
200.2,109.3236694,183.461319,-1305.277222
200.3,107.804512,177.2437897,-1279.229492
200.4,106.6574402,172.5771332,-1259.904785
200.5,106.1578903,170.4687958,-1251.149414
200.6,106.5721817,171.8615112,-1256.282104
200.7,108.028511,177.1611023,-1276.350708
200.8,110.445015,185.9886475,-1309.362915
200.9,113.5493622,197.2770233,-1350.848389
201,116.9777222,209.6553802,-1395.438721
201.1,120.402153,221.9238434,-1438.665894
201.2,123.6236954,233.3853302,-1478.121338
201.3,126.5901947,243.8882599,-1513.49292
201.4,129.3390961,253.5936127,-1545.60144
201.5,131.905365,262.625061,-1575.068604
201.6,134.250824,270.8155212,-1601.400269
201.7,136.2563477,277.699646,-1622.997803
201.8,137.7812347,282.7569885,-1638.071045
201.9,138.7554016,285.766449,-1645.922974
202,139.2507477,287.0664368,-1647.86377
202.1,139.4893036,287.563385,-1647.211304
202.2,139.7791595,288.4658203,-1648.323608
202.3,140.4081116,290.8677368,-1655.11377
202.4,141.5467377,295.3819885,-1669.765137
202.5,143.2058258,301.9935913,-1692.229614
202.6,145.2626038,310.1802979,-1720.667847
202.7,147.533432,319.2048645,-1752.485962
202.8,149.8473969,328.3998413,-1785.341431
202.9,152.0794983,337.2872925,-1817.565674
203,154.1304932,345.4881592,-1847.844849
203.1,155.8755035,352.5146484,-1874.482788
203.2,157.1257019,357.62146,-1894.859009
203.3,157.6424408,359.8671265,-1905.618896
203.4,157.2121582,358.4152527,-1903.71582
203.5,155.7519989,352.9526978,-1887.889038
203.6,153.3903198,344.0044861,-1859.812622
203.7,150.4706268,332.9450378,-1824.196045
203.8,147.4616394,321.6390076,-1787.571289
203.9,144.8029327,311.8310547,-1756.155029
204,142.7523804,304.5435791,-1733.681885
204.1,141.3059998,299.7603149,-1720.204834
204.2,140.2305756,296.5539856,-1712.467041
204.3,139.1975403,293.6129456,-1705.732422
204.4,137.9579926,289.9324646,-1696.27478
204.5,136.4781494,285.3543701,-1683.391602
204.6,134.9720764,280.7062683,-1670.004761
204.7,133.8159027,277.4740906,-1661.553833
204.8,133.3820801,277.1554565,-1663.659912
204.9,133.8681335,280.5814514,-1679.590698
205,135.1947327,287.5015869,-1708.629883
205.1,137.0148621,296.5997314,-1746.023071
205.2,138.8258057,305.9171448,-1784.469727
205.3,140.1325073,313.4869995,-1816.478149
205.4,140.5940857,317.916626,-1836.592773
205.5,140.0990448,318.7011719,-1842.657593
205.6,138.7509003,316.1891785,-1835.766235
205.7,136.7847443,311.271637,-1819.131714
205.8,134.4591827,304.9628601,-1796.501831
205.9,131.9695587,298.0525208,-1770.813477
206,129.4100189,290.9406128,-1743.535278
206.1,126.7852707,283.667572,-1714.769043
206.2,124.0532455,276.0715027,-1683.854126
206.3,121.1724243,267.9722595,-1650.087646
206.4,118.1340866,259.304657,-1613.24646
206.5,114.9724121,250.167984,-1573.779419
206.6,111.7564697,240.804657,-1532.711914
206.7,108.5726013,231.5387878,-1491.387573
206.8,105.5044785,222.7026062,-1451.155884
206.9,102.6142578,214.5644531,-1413.064941
207,99.92685699,207.2649231,-1377.592285
207.1,97.42017365,200.7713165,-1344.464966
207.2,95.02638245,194.8691711,-1312.654297
207.3,92.64794922,189.2085876,-1280.616333
207.4,90.18716431,183.4056396,-1246.761963
207.5,87.57970428,177.1703339,-1210.012939
207.6,84.8179245,170.4091187,-1170.201538
207.7,81.95102692,163.2506104,-1128.097778
207.8,79.0589447,155.9722443,-1084.997192
207.9,76.21029663,148.8540039,-1042.032959
208,73.42443085,142.0265045,-999.5465698
208.1,70.65801239,135.3905182,-956.8604736
208.2,67.82521057,128.6546021,-912.6134644
208.3,64.84355164,121.4789963,-865.5253906
208.4,61.68289948,113.6572342,-815.2085571
208.5,58.39162064,105.2434082,-762.5869751
208.6,55.08468628,96.55666351,-709.6674194
208.7,51.8976593,88.05589294,-658.7445068
208.8,48.92891693,80.14459229,-611.4342651
208.9,46.19969177,73.00347137,-568.0435181
209,43.65304947,66.53564453,-527.6199951
209.1,41.1931076,60.451931,-488.6689758
209.2,38.74453735,54.4515686,-450.1607056
209.3,36.30134583,48.40440369,-412.2819824
209.4,33.93907928,42.44054031,-376.5159607
209.5,31.78352928,36.90220642,-344.9918213
209.6,29.95174217,32.18444443,-319.4431458
209.7,28.49576378,28.54837227,-300.3319092
209.8,27.37812805,26.00311279,-286.6075134
209.9,26.49142265,24.31467438,-276.2264404
210,25.71111298,23.13260078,-267.143219
210.1,24.95359802,22.16417885,-258.2272339
210.2,24.20897102,21.30326271,-249.6046753
210.3,23.53171921,20.64725685,-242.2478943
210.4,22.99487877,20.39649963,-237.054245
210.5,22.63251877,20.69261742,-233.9451599
210.6,22.40145874,21.48377228,-231.5099792
210.7,22.18317795,22.48976707,-227.423172
210.8,21.8260479,23.28749466,-219.4404144
210.9,21.20748901,23.47543335,-206.4585724
211,20.28566742,22.83644485,-189.0828705
211.1,19.11583138,21.42028809,-169.40065
211.2,17.82411003,19.50837326,-150.0756836
211.3,16.55218506,17.48117256,-133.2253723
211.4,15.39961147,15.65410042,-119.6439362
211.5,14.39025879,14.15898514,-108.7392883
211.6,13.47658539,12.92208958,-99.17279053
211.7,12.57681561,11.74106884,-89.83280945
211.8,11.62526226,10.41709328,-80.61974335
211.9,10.61144924,8.876351357,-72.64110565
212,9.59089756,7.225463867,-67.73356628
212.1,8.664749146,5.720200062,-67.57073975
212.2,7.939656258,4.667690754,-72.80696869
212.3,7.486885548,4.309771061,-82.66379547
212.4,7.317815304,4.738308907,-95.12897491
212.5,7.384012699,5.874069691,-107.6406555
212.6,7.598786354,7.510466576,-117.9226913
212.7,7.868928432,9.397205353,-124.6073761
212.8,8.123230934,11.32702637,-127.4205551
212.9,8.328086853,13.19378185,-126.9213409
213,8.487240791,15.00645733,-123.9740524
213.1,8.629150391,16.86242485,-119.2065735
213.2,8.788855553,18.89601517,-112.6689072
213.3,8.991300583,21.22229195,-103.7919998
213.4,9.240706444,23.89194298,-91.6253891
213.5,9.517546654,26.865942,-75.24908447
213.6,9.782369614,30.01194,-54.22284698
213.7,9.984436035,33.1204567,-28.94199944
213.8,10.07281494,35.93703461,-0.795559287
213.9,10.0075388,38.20534134,27.93584633
214,9.768536568,39.71432114,54.44519043
214.1,9.360395432,40.34017181,75.95360565
214.2,8.81176281,40.07312775,90.30551147
214.3,8.169451714,39.02069855,96.41716766
214.4,7.488796234,37.3843689,94.42108917
214.5,6.822806358,35.41437912,85.45074463
214.6,6.212969303,33.35406494,71.14913177
214.7,5.683829784,31.38941002,53.0985527
214.8,5.242167473,29.61781693,32.39848328
214.9,4.880196571,28.0441761,9.544820786
215,4.581222057,26.60304832,-15.37994385
215.1,4.325876713,25.19740105,-42.33746338
215.2,4.097307682,23.73967934,-70.98530579
215.3,3.884343624,22.18179131,-100.5140991
215.4,3.68240881,20.52652931,-129.7210999
215.5,3.49263835,18.82109642,-157.248291
215.6,3.320112705,17.14033318,-181.8482666
215.7,3.172281027,15.56999111,-202.5648041
215.8,3.058366299,14.19763947,-218.7990723
215.9,2.989899874,13.11257076,-230.3184814
216,2.98172164,12.40948582,-237.2915344
216.1,3.05221653,12.18755054,-240.3859863
216.2,3.221622944,12.53858566,-240.8812866
216.3,3.508053541,13.5245924,-240.6842194
216.4,3.922135353,15.152174,-242.1491547
216.5,4.462211609,17.35544205,-247.6911621
216.6,5.112250328,19.99703217,-259.2964172
216.7,5.843650341,22.8895092,-278.1051941
216.8,6.620494366,25.83027649,-304.2243652
216.9,7.406236172,28.63722038,-336.8227234
217,8.169319153,31.1727314,-374.4344788
217.1,8.886068344,33.35074615,-415.317688
217.2,9.540924072,35.13062286,-457.7294312
217.3,10.12565804,36.50800705,-500.0739136
217.4,10.6394577,37.51205444,-540.9840698
217.5,11.09056282,38.21076202,-579.4390869
217.6,11.49800301,38.71640015,-614.9655762
217.7,11.89048481,39.17737961,-647.8495483
217.8,12.29986954,39.74642944,-679.1889038
217.9,12.74922752,40.52719116,-710.6182861
218,13.23910618,41.51670837,-743.6732788
218.1,13.73838043,42.57107925,-778.9680176
218.2,14.18593311,43.41884613,-815.5303345
218.3,14.50589561,43.73042679,-850.6593628
218.4,14.63336468,43.22805023,-880.5045166
218.5,14.54207516,41.79986572,-901.2645264
218.6,14.26316547,39.574646,-910.6110229
218.7,13.88631535,36.9239502,-908.7939453
218.8,13.54070091,34.38375092,-898.96521
218.9,13.36077785,32.51690292,-886.5374756
219,13.44770718,31.75933647,-877.7553711
219.1,13.83900833,32.29837418,-877.9456787
219.2,14.4960289,34.01963806,-890.0147095
219.3,15.31274796,36.53556061,-913.6538086
219.4,16.14264679,39.28334427,-945.4592285
219.5,16.83539963,41.66209412,-979.8796387
219.6,17.27322197,43.17189026,-1010.682617
219.7,17.39782906,43.52171707,-1032.523926
219.8,17.22195816,42.68390274,-1042.222534
219.9,16.82338524,40.88631058,-1039.444214
220,16.32323647,38.54661942,-1026.646729
220.1,15.85392761,36.16493607,-1008.314209
220.2,15.52470016,34.20010376,-989.6793213
220.3,15.39379597,32.960289,-975.2751465
220.4,15.45512295,32.53623199,-967.7252808
220.5,15.6433506,32.7951088,-967.1279297
220.6,15.85563564,33.43501663,-971.2103271
220.7,15.98248959,34.08059311,-976.166687
220.8,15.93715763,34.38680649,-977.8516846
220.9,15.67393684,34.11687851,-972.8880005
221,15.19098377,33.17296219,-959.3218994
221.1,14.52001095,31.57928467,-936.694458
221.2,13.71055698,29.4369278,-905.675354
221.3,12.81741524,26.8781147,-867.5805664
221.4,11.89591885,24.04144669,-824.0789185
221.5,11.0034399,21.07255554,-777.190918
221.6,10.20042992,18.13667107,-729.4241333
221.7,9.543966293,15.42137432,-683.7362671
221.8,9.071679115,13.11411476,-643.0725098
221.9,8.78151989,11.35638523,-609.4830322
222,8.618514061,10.194417,-583.1434326
222.1,8.479420662,9.553842545,-561.7830811
222.2,8.239274025,9.257526398,-540.9452515
222.3,7.793056488,9.085466385,-515.1628418
222.4,7.096923828,8.854149818,-479.6957092
222.5,6.191496849,8.482089996,-432.171051
222.6,5.196487427,8.014528275,-373.4629517
222.7,4.278341293,7.600058556,-307.4663086
222.8,3.604501963,7.434314728,-239.9049225
222.9,3.30313611,7.698601723,-176.7218628
223,3.443058014,8.518208504,-122.7255783
223.1,4.037430286,9.949313164,-80.95789337
223.2,5.062796116,11.98538589,-52.83556366
223.3,6.47859621,14.56516647,-38.72791672
223.4,8.234855652,17.56966972,-38.47690964
223.5,10.26529408,20.81091118,-51.5076561
223.6,12.47391605,24.02916908,-76.51313782
223.7,14.72864056,26.91806793,-111.0152359
223.8,16.87249565,29.1843586,-151.2176361
223.9,18.75311852,30.62876511,-192.4146118
224,20.26054764,31.21821594,-229.9042969
224.1,21.3578949,31.11905289,-260.068634
224.2,22.09256172,30.67688751,-281.1905212
224.3,22.58511353,30.35294724,-293.7244873
224.4,23.0030632,30.64432716,-300.015625
224.5,23.53155327,32.01593018,-303.6954956
224.6,24.34994698,34.85533905,-309.0390625
224.7,25.61526871,39.44012451,-320.4325562
224.8,27.44652939,45.89682388,-341.9021301
224.9,29.90358734,54.14136887,-376.5514832
225,32.96152878,63.81841278,-425.8474731
225.1,36.49188995,74.28304291,-488.9281006
225.2,40.26758575,84.67199707,-562.3153076
225.3,44.00342941,94.08139801,-640.4094238
225.4,47.42842865,101.8138199,-716.8565674
225.5,50.36721802,107.6059875,-786.4274902
225.6,52.79674149,111.7321396,-846.6748047
225.7,54.84936523,114.9152298,-898.5982056
225.8,56.75484085,118.0581436,-945.9224854
225.9,58.7424202,121.8955536,-993.2397461
226,60.94577408,126.7166901,-1043.854736
226.1,63.35522079,132.2890625,-1098.36853
226.2,65.84078217,138.0260315,-1154.705566
226.3,68.23523712,143.3238983,-1209.558594
226.4,70.43543243,147.9067383,-1260.481689
226.5,72.46910858,152.004776,-1307.494141
226.6,74.49069214,156.2683258,-1353.290771
226.7,76.70502472,161.4478455,-1401.881226
226.8,79.25580597,167.9908905,-1456.329468
226.9,82.13494873,175.7540283,-1516.77063
227,85.16022491,183.9774323,-1579.769531
227.1,88.03465271,191.5429382,-1639.399536
227.2,90.45980072,197.3970642,-1689.525269
227.3,92.24777222,200.9384918,-1726.141724
227.4,93.3776474,202.1881714,-1748.608643
227.5,93.97097778,201.6694336,-1759.209717
227.6,94.20262146,200.070282,-1761.359131
227.7,94.19544983,197.8648682,-1757.467163
227.8,93.95386505,195.0838165,-1747.613281
227.9,93.36816406,191.3385315,-1729.681641
228,92.28300476,186.0689545,-1700.788574
228.1,90.5892868,178.8707428,-1659.130127
228.2,88.2879715,169.7236176,-1605.187744
228.3,85.49216461,159.0064697,-1541.645264
228.4,82.36972809,147.3054962,-1472.135742
228.5,79.06227112,135.1361389,-1399.612427
228.6,75.6293335,122.7423401,-1325.344727
228.7,72.05142975,110.0880508,-1249.151489
228.8,68.29116821,97.04337311,-1170.742554
228.9,64.37730408,83.65460968,-1091.36145
229,60.46156311,70.33725739,-1014.704285
229.1,56.81106186,57.87060547,-946.4615479
229.2,53.73352432,47.1803627,-892.5828247
229.3,51.46911621,39.01238632,-857.0897217
229.4,50.10235214,33.66227722,-840.5474243
